0,0,A,0,1,1223
0,1,A,1,1,208
0,2,B,0,0,78
0,3,B,1,1,196
0,4,A,0,0,124
0,5,B,1,0,97
0,6,B,0,1,212
0,7,A,1,0,92
0,8,B,0,0,98
0,9,B,1,1,196
0,10,A,0,0,115
0,11,A,1,1,183
0,12,B,0,0,108
0,13,A,1,0,93
0,14,A,0,1,194
0,15,A,1,1,196
0,16,B,0,0,103
0,17,A,1,0,108
0,18,B,0,0,92
0,19,B,1,1,188
1,0,X,5,1,357
1,1,X,1,1,239
1,2,O,8,0,92
1,3,X,3,0,110
1,4,X,4,1,194
1,5,X,1,1,212
1,6,X,7,1,201
1,7,O,9,0,111
1,8,X,1,0,95
1,9,X,8,1,194
1,10,X,9,1,206
1,11,X,8,1,209
1,12,X,0,1,186
1,13,X,5,1,211
1,14,O,3,0,22
1,15,X,4,1,194
1,16,O,0,0,187
1,17,O,9,1,190
1,18,O,6,1,165
1,19,X,2,0,157
2,0,B,0,0,243
2,1,X,1,1,211
2,2,B,1,1,201
2,3,X,3,1,207
2,4,B,0,1,201
2,5,X,0,1,214
2,6,A,1,0,103
2,7,O,1,1,206
2,8,A,0,1,191
2,9,O,9,1,207
2,10,A,1,1,208
2,11,O,6,1,206
2,12,B,0,0,128
2,13,O,8,0,78
2,14,A,1,1,206
2,15,X,1,0,131
2,16,B,0,1,194
2,17,X,8,1,201
2,18,B,1,1,188
2,19,X,4,1,199
2,20,A,0,0,75
2,21,X,7,0,116
2,22,B,1,1,204
2,23,X,3,1,194
2,24,B,0,1,214
2,25,O,9,0,48
2,26,A,1,1,249
2,27,X,8,0,126
2,28,B,0,1,192
2,29,X,6,1,226
2,30,A,1,0,68
2,31,X,7,0,120
2,32,B,0,1,213
2,33,X,2,1,247
2,34,A,1,0,4
2,35,O,4,0,199
2,36,A,0,1,254
2,37,O,5,1,240
2,38,B,1,0,80
2,39,O,2,0,78
3,0,B,0,0,253
3,1,O,7,0,105
3,2,A,1,1,196
3,3,O,4,1,243
3,4,B,0,0,108
3,5,O,9,0,92
3,6,B,1,0,123
3,7,O,6,0,80
3,8,A,0,1,234
3,9,X,0,0,103
3,10,A,1,0,88
3,11,O,7,1,229
3,12,B,0,0,98
3,13,X,0,1,217
3,14,A,1,0,110
3,15,O,6,1,209
3,16,B,0,0,110
3,17,O,7,0,113
3,18,B,1,0,83
3,19,X,4,1,217
3,20,B,0,1,214
3,21,X,7,1,221
3,22,A,1,0,103
3,23,X,5,0,104
3,24,A,0,0,120
3,25,O,2,1,206
3,26,B,1,0,50
3,27,X,0,1,223
3,28,A,0,0,163
3,29,X,7,0,88
3,30,B,1,1,241
3,31,O,6,0,102
3,32,B,0,0,78
3,33,X,7,1,199
3,34,B,1,1,217
3,35,X,1,1,188
3,36,B,0,1,197
3,37,O,0,0,179
3,38,A,1,1,196
3,39,O,4,1,220
4,0,B,1,1,307
4,1,A,0,0,85
4,2,A,1,1,207
4,3,A,0,1,198
4,4,B,1,0,171
4,5,B,0,2,236
4,6,A,1,0,192
4,7,A,0,1,234
4,8,B,1,0,123
4,9,A,0,0,83
4,10,A,1,1,221
4,11,A,0,1,245
4,12,B,1,0,126
4,13,A,0,0,90
4,14,A,1,1,213
4,15,A,0,0,167
4,16,B,1,0,80
4,17,B,0,1,213
4,18,A,1,0,116
4,19,B,0,0,149
5,0,B,0,1,307
5,1,X,8,0,98
5,2,A,1,1,251
5,3,X,2,1,221
5,4,B,0,0,90
5,5,X,8,0,113
5,6,B,1,0,135
5,7,X,1,0,98
5,8,B,0,0,88
5,9,O,8,1,214
5,10,A,1,0,123
5,11,X,7,1,199
5,12,A,0,1,232
5,13,X,9,1,221
5,14,B,1,0,103
5,15,X,6,0,103
5,16,A,0,1,216
5,17,X,8,1,224
5,18,A,1,1,206
5,19,O,0,0,161
5,20,A,0,0,35
5,21,O,9,1,295
5,22,A,1,0,124
5,23,O,2,0,123
5,24,B,0,1,209
5,25,O,4,1,319
5,26,A,1,0,141
5,27,O,8,0,151
5,28,A,0,0,110
5,29,X,9,1,242
5,30,B,1,0,151
5,31,O,5,1,232
5,32,B,0,1,262
5,33,X,2,0,106
5,34,A,1,1,264
5,35,X,7,1,233
5,36,B,0,0,113
5,37,X,3,0,164
5,38,B,1,0,138
5,39,X,1,0,136
6,0,A,1,0,205
6,1,X,9,1,239
6,2,A,0,1,274
6,3,O,1,0,83
6,4,B,1,1,209
6,5,O,5,1,274
6,6,B,0,1,211
6,7,O,9,1,229
6,8,B,1,1,229
6,9,X,0,0,101
6,10,B,0,0,106
6,11,O,6,1,203
6,12,B,1,1,229
6,13,O,0,2,355
6,14,B,0,1,315
6,15,O,2,1,244
6,16,B,1,1,213
6,17,O,7,1,247
6,18,B,0,1,250
6,19,X,1,0,84
6,20,A,1,1,280
6,21,O,6,0,156
6,22,B,0,1,213
6,23,X,4,0,141
6,24,B,1,0,105
6,25,O,6,1,255
6,26,B,0,1,255
6,27,O,3,1,239
6,28,B,1,1,232
6,29,O,1,1,255
6,30,B,0,1,235
6,31,X,4,0,98
6,32,A,1,1,249
6,33,O,5,0,129
6,34,B,0,1,274
6,35,O,6,1,254
6,36,A,1,0,128
6,37,X,5,1,262
6,38,A,0,1,237
6,39,O,3,0,115
