0,0,B,2,0,820
0,1,B,1,1,253
0,2,A,2,0,115
0,3,A,3,1,204
0,4,A,1,1,220
0,5,B,11,0,87
0,6,A,10,0,140
0,7,B,3,0,61
0,8,A,0,0,133
0,9,B,4,0,92
0,10,B,6,1,208
0,11,B,8,1,196
0,12,B,0,1,200
0,13,B,8,1,208
0,14,A,7,0,117
0,15,B,3,0,83
0,16,B,9,1,210
0,17,A,8,0,93
0,18,B,2,0,90
0,19,B,9,1,204
1,0,X,2,0,186
1,1,O,4,0,97
1,2,O,0,1,197
1,3,X,4,0,131
1,4,X,2,1,211
1,5,O,1,0,77
1,6,O,4,1,232
1,7,X,2,0,114
1,8,X,3,1,198
1,9,X,0,1,203
1,10,X,2,1,219
1,11,X,0,1,208
1,12,X,4,1,210
1,13,O,2,0,99
1,14,O,1,1,194
1,15,X,0,0,119
1,16,O,3,0,94
1,17,X,4,0,112
1,18,O,3,0,88
1,19,X,2,0,144
2,0,A,11,1,223
2,1,X,0,0,108
2,2,A,5,0,68
2,3,X,3,0,118
2,4,B,9,1,208
2,5,O,2,0,82
2,6,B,0,0,130
2,7,O,4,0,109
2,8,A,4,1,113
2,9,X,1,1,179
2,10,A,9,0,75
2,11,X,3,0,53
2,12,A,10,0,70
2,13,O,1,1,99
2,14,A,5,1,129
2,15,O,4,1,102
2,16,A,0,1,111
2,17,X,2,0,34
2,18,B,8,1,110
2,19,X,3,1,96
2,20,B,0,0,105
2,21,X,1,1,109
2,22,B,9,1,102
2,23,O,2,0,59
2,24,B,4,0,47
2,25,X,1,1,109
2,26,B,2,1,110
2,27,X,4,1,100
2,28,B,5,1,100
2,29,O,2,0,93
2,30,A,4,2,128
2,31,O,1,1,119
2,32,A,6,1,112
2,33,X,0,0,78
2,34,B,1,1,116
2,35,O,4,1,151
2,36,B,8,0,44
2,37,X,3,3,290
2,38,A,9,1,121
2,39,O,1,1,112
3,0,A,3,1,255
3,1,X,2,0,96
3,2,A,4,0,38
3,3,O,3,1,136
3,4,B,8,0,63
3,5,X,0,1,99
3,6,A,0,0,57
3,7,X,2,0,64
3,8,A,6,0,61
3,9,X,0,1,129
3,10,B,3,0,88
3,11,X,4,1,120
3,12,A,6,0,29
3,13,O,1,1,104
3,14,A,0,1,114
3,15,X,4,0,91
3,16,A,2,0,29
3,17,O,3,1,122
3,18,A,10,1,133
3,19,X,2,0,53
3,20,B,3,1,136
3,21,X,4,1,380
3,22,B,11,0,204
3,23,X,2,1,324
3,24,B,4,0,125
3,25,O,0,0,10
3,26,A,11,1,240
3,27,X,4,0,18
3,28,A,1,1,147
3,29,X,3,1,110
3,30,B,9,0,118
3,31,X,0,1,138
3,32,A,7,0,27
3,33,X,3,0,99
3,34,B,2,2,264
3,35,X,1,2,201
3,36,A,10,1,243
3,37,X,4,0,96
3,38,B,4,1,130
3,39,O,0,0,35
4,0,B,6,1,389
4,1,A,1,0,191
4,2,A,11,1,195
4,3,B,8,0,11
4,4,B,10,1,266
4,5,B,3,1,216
4,6,B,10,1,206
4,7,B,11,1,198
4,8,A,8,0,114
4,9,B,6,0,107
4,10,B,3,1,200
4,11,B,0,1,228
4,12,A,7,0,59
4,13,B,4,0,145
4,14,B,5,1,201
4,15,A,0,0,73
4,16,A,9,1,189
4,17,B,1,0,127
4,18,B,0,1,190
4,19,A,3,0,83
5,0,B,10,1,474
5,1,O,1,2,393
5,2,A,5,0,148
5,3,X,0,1,238
5,4,B,11,0,87
5,5,O,2,1,209
5,6,A,8,0,127
5,7,O,3,0,103
5,8,B,9,1,231
5,9,O,2,1,208
5,10,B,4,1,216
5,11,O,4,1,201
5,12,A,6,0,92
5,13,O,0,0,126
5,14,A,9,0,76
5,15,X,1,1,221
5,16,A,3,1,203
5,17,X,2,1,204
5,18,B,6,0,72
5,19,X,1,0,127
5,20,B,1,0,73
5,21,O,4,1,171
5,22,A,9,0,133
5,23,O,2,0,127
5,24,A,4,0,90
5,25,O,0,0,134
5,26,B,2,1,215
5,27,X,1,0,23
5,28,B,9,1,241
5,29,X,0,0,120
5,30,A,6,1,199
5,31,O,4,0,90
5,32,A,11,0,40
5,33,X,3,2,216
5,34,A,0,1,139
5,35,X,2,1,221
5,36,A,3,2,139
5,37,O,4,0,108
5,38,B,4,1,119
5,39,X,1,0,8
6,0,A,1,0,320
6,1,X,1,1,254
6,2,B,7,0,172
6,3,O,2,1,202
6,4,A,5,0,57
6,5,O,3,1,275
6,6,B,9,1,267
6,7,X,0,0,81
6,8,B,1,0,163
6,9,X,2,0,47
6,10,B,10,0,147
6,11,X,1,0,98
6,12,A,7,1,218
6,13,O,2,0,102
6,14,B,3,2,399
6,15,O,4,1,237
6,16,B,10,1,226
6,17,X,0,0,99
6,18,A,5,1,185
6,19,X,1,1,197
6,20,B,9,0,138
6,21,X,4,0,71
6,22,A,1,1,210
6,23,X,2,1,219
6,24,B,5,0,118
6,25,O,0,1,231
6,26,A,9,0,81
6,27,X,1,1,230
6,28,A,10,1,244
6,29,O,3,0,97
6,30,B,1,1,251
6,31,X,0,0,96
6,32,A,10,1,212
6,33,O,2,0,128
6,34,A,3,0,95
6,35,O,1,0,104
6,36,A,8,0,116
6,37,O,3,0,128
6,38,B,9,1,207
6,39,O,4,1,225
